Frames,Timestamp,fundamental_freq,pid,qid,voice_label
0,1.1912680864334106,,40,13,no
1,1.201311141679791,,40,13,no
2,1.2113541969261716,,40,13,no
3,1.2213972521725522,,40,13,no
4,1.2314403074189326,,40,13,no
5,1.241483362665313,,40,13,no
6,1.2515264179116936,,40,13,no
7,1.2615694731580742,,40,13,no
8,1.2716125284044546,,40,13,no
9,1.281655583650835,,40,13,no
10,1.2916986388972156,,40,13,no
11,1.3017416941435962,,40,13,no
12,1.3117847493899766,,40,13,no
13,1.321827804636357,,40,13,no
14,1.3318708598827376,208.0178449164668,40,13,yes
15,1.3419139151291182,203.2426151578036,40,13,yes
16,1.3519569703754986,202.46617999612468,40,13,yes
17,1.362000025621879,201.364405555695,40,13,yes
18,1.3720430808682595,198.9204683008301,40,13,yes
19,1.3820861361146402,197.2677439333005,40,13,yes
20,1.3921291913610205,195.474067862429,40,13,yes
21,1.402172246607401,193.85025067513294,40,13,yes
22,1.4122153018537815,191.64012023415586,40,13,yes
23,1.4222583571001621,189.29425256483674,40,13,yes
24,1.4323014123465425,187.41701248785608,40,13,yes
25,1.442344467592923,184.84469250961584,40,13,yes
26,1.4523875228393035,182.59245920803178,40,13,yes
27,1.462430578085684,180.90177027368387,40,13,yes
28,1.4724736333320645,179.22990237392673,40,13,yes
29,1.4825166885784449,177.57756497567473,40,13,yes
30,1.4925597438248255,176.02278181524252,40,13,yes
31,1.502602799071206,174.66429113612398,40,13,yes
32,1.5126458543175865,173.25187565866418,40,13,yes
33,1.5226889095639669,171.7739292734429,40,13,yes
34,1.5327319648103475,171.36270920377441,40,13,yes
35,1.542775020056728,170.92735882912285,40,13,yes
36,1.5528180753031084,170.36727898729205,40,13,yes
37,1.5628611305494888,170.10399295003322,40,13,yes
38,1.5729041857958694,170.47883933585965,40,13,yes
39,1.58294724104225,170.42437282203127,40,13,yes
40,1.5929902962886304,170.67111236495725,40,13,yes
41,1.6030333515350108,170.2808566433276,40,13,yes
42,1.6130764067813914,169.85076335156475,40,13,yes
43,1.623119462027772,169.41151233590668,40,13,yes
44,1.6331625172741524,169.47060403796536,40,13,yes
