frame, face_id, timestamp, confidence, success, pose_Tx, pose_Ty, pose_Tz, pose_Rx, pose_Ry, pose_Rz
1,0,0.0,0.98,1,-21.3,27.2,246.6,-0.053,-0.159,0.11
2,0,0.042,0.98,1,-21.2,27.2,247.8,-0.051,-0.15,0.11599999999999999
3,0,0.083,0.98,1,-21.2,27.3,250.9,-0.061,-0.11699999999999999,0.115
4,0,0.125,0.98,1,-21.4,27.6,255.9,-0.08900000000000001,-0.08900000000000001,0.115
5,0,0.16699999999999998,0.98,1,-21.3,27.4,255.8,-0.115,-0.083,0.107
6,0,0.20800000000000002,0.98,1,-21.4,27.5,256.2,-0.114,-0.08,0.10800000000000001
7,0,0.25,0.98,1,-21.4,27.6,257.4,-0.124,-0.076,0.107
8,0,0.292,0.98,1,-21.2,27.7,257.7,-0.126,-0.075,0.11199999999999999
9,0,0.33299999999999996,0.98,1,-21.1,27.5,257.9,-0.126,-0.076,0.114
10,0,0.375,0.93,1,-21.0,27.2,258.1,-0.128,-0.076,0.11599999999999999
11,0,0.41700000000000004,0.98,1,-21.1,26.7,258.6,-0.131,-0.076,0.11599999999999999
12,0,0.45799999999999996,0.98,1,-21.2,26.4,258.3,-0.128,-0.07,0.11599999999999999
13,0,0.5,0.98,1,-21.2,26.2,258.2,-0.131,-0.071,0.11900000000000001
14,0,0.542,0.98,1,-21.0,25.8,258.2,-0.138,-0.071,0.12
15,0,0.583,0.98,1,-20.7,24.8,258.1,-0.147,-0.068,0.11800000000000001
16,0,0.625,0.98,1,-20.3,23.2,258.6,-0.155,-0.065,0.12
17,0,0.667,0.98,1,-19.8,21.3,258.5,-0.16,-0.063,0.121
18,0,0.708,0.98,1,-19.4,19.5,259.0,-0.166,-0.059000000000000004,0.12
19,0,0.75,0.98,1,-19.0,17.5,258.9,-0.172,-0.059000000000000004,0.12
20,0,0.792,0.98,1,-18.5,15.2,259.3,-0.182,-0.062,0.11900000000000001
21,0,0.833,0.98,1,-18.0,12.4,259.7,-0.19399999999999998,-0.063,0.114
22,0,0.875,0.98,1,-17.8,9.2,260.0,-0.201,-0.064,0.10800000000000001
23,0,0.917,0.98,1,-18.0,6.2,260.8,-0.19699999999999998,-0.07200000000000001,0.10099999999999999
24,0,0.958,0.98,1,-18.2,3.3,262.7,-0.2,-0.07,0.09699999999999999
25,0,1.0,0.98,1,-18.6,0.6,264.2,-0.20199999999999999,-0.067,0.09300000000000001
26,0,1.042,0.98,1,-19.2,-1.6,265.3,-0.20800000000000002,-0.066,0.083
27,0,1.083,0.98,1,-20.0,-3.4,267.3,-0.212,-0.066,0.07400000000000001
28,0,1.125,0.98,1,-20.5,-4.7,268.8,-0.207,-0.063,0.062
29,0,1.167,0.98,1,-20.9,-5.1,271.6,-0.209,-0.061,0.051
30,0,1.208,0.98,1,-21.2,-6.0,273.9,-0.228,-0.057,0.048
31,0,1.25,0.98,1,-20.9,-7.6,275.8,-0.251,-0.057,0.043
32,0,1.2919999999999998,0.98,1,-19.8,-8.6,278.0,-0.267,-0.071,0.037000000000000005
33,0,1.3330000000000002,0.98,1,-19.2,-8.7,280.0,-0.27399999999999997,-0.079,0.045
34,0,1.375,0.98,1,-18.4,-7.8,280.2,-0.263,-0.079,0.054000000000000006
35,0,1.4169999999999998,0.98,1,-17.2,-6.2,278.9,-0.24600000000000002,-0.07400000000000001,0.054000000000000006
36,0,1.4580000000000002,0.98,1,-16.5,-4.7,277.7,-0.233,-0.07400000000000001,0.061
37,0,1.5,0.98,1,-15.3,-3.1,276.3,-0.221,-0.069,0.068
38,0,1.5419999999999998,0.98,1,-13.7,-2.0,275.6,-0.20800000000000002,-0.073,0.076
39,0,1.5830000000000002,0.98,1,-12.3,-2.1,273.8,-0.193,-0.063,0.081
40,0,1.625,0.98,1,-10.4,-3.0,274.0,-0.203,-0.05,0.08800000000000001
41,0,1.6669999999999998,0.98,1,-8.6,-4.1,274.2,-0.20800000000000002,-0.038,0.09699999999999999
